NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-59.77222442	-49.81648047	-44.85655249	-46.38198415	-47.54652681	-58.88243188	-59.81078183	-59.9393833	-60.19145954
-58.27454639	-48.6465696	-44.31833206	-44.36343763	-47.10030182	-52.46271491	-58.76385447	-59.66660901	-60.250537
-50.53267163	-46.9232983	-44.65648271	-44.11599818	-44.3548286	-48.84603157	-53.77149144	-58.27609085	-60.02072356
-49.1794603	-46.83958389	-44.07390296	-42.4462479	-43.04049425	-45.81025743	-48.62494727	-53.68226944	-58.53365361
-50.67578279	-48.41988271	-49.00167063	-44.66991214	-44.35253148	-46.06039379	-48.03660209	-50.41033755	-56.45011854
-53.46475866	-50.63006587	-50.34529766	-46.06267056	-46.08356324	-45.92550481	-47.71125754	-48.99917615	-55.7040677
-53.37218281	-51.97085101	-49.59418469	-48.85924996	-46.52987246	-48.25196826	-49.78345724	-49.6877837	-57.18774687
-54.60405298	-54.48334915	-52.85849928	-55.17709648	-48.88510937	-50.67147723	-52.64634266	-52.70727718	-57.40521643
-59.0229607	-58.71489643	-59.77109456	-60.95492	-49.83053199	-51.99608217	-53.39907434	-53.01723628	-57.43592812
-59.87296568	-59.38210297	-59.99535954	-61.50986058	-50.86446277	-52.54991406	-54.45023585	-53.23752685	-57.71980741
-59.88846023	-56.96049107	-59.99992452	-53.56080293	-53.38794639	-52.52609421	-58.25451107	-55.66182498	-58.16898085
-59.16917929	-59.21563417	-59.99999892	-59.35995145	-58.41328652	-59.26272673	-57.24338479	-59.35747786	-58.20817697
-55.47078401	-59.86376664	-59.99999999	-59.95949125	-59.00489599	-62.14691771	-59.38561856	-61.72705453	-58.79907471
